Token,Entry,Exit,Return%,MaxDD%,Trades,Calmar,WinRate%
ETH,20,20,-17.687185299257962,-92.05496517749744,736,-0.19213722220364862,34.10326086956522
ETH,20,35,300.92217566754186,-85.00244704880947,533,3.5401589732440124,36.96060037523452
ETH,20,55,391.56327301214395,-74.30125773280719,422,5.269941384037326,35.07109004739337
ETH,20,80,469.29868898703324,-75.11760788950829,332,6.247519086035491,34.036144578313255
ETH,35,10,596.5326418646752,-49.7133700162967,698,11.999440827872338,37.249283667621775
ETH,35,20,141.74292714059,-83.02509100956065,561,1.7072300122413329,34.93761140819964
ETH,35,35,1429.732179188213,-70.03236244867685,417,20.415306998046667,38.60911270983213
ETH,35,55,1136.964509992389,-64.36452023532546,345,17.664460262198673,35.36231884057971
ETH,35,80,1042.0168459274303,-67.86412262906623,277,15.354458372989177,33.935018050541515
ETH,55,10,459.55277852992566,-47.698854253660485,561,9.634461576079866,35.47237076648842
ETH,55,20,207.5671958983403,-77.47700156244683,454,2.679081426906282,33.70044052863436
ETH,55,35,2210.818061903003,-62.43725887949482,340,35.408634228641056,37.94117647058823
ETH,55,55,1572.7120551989956,-61.17668427475327,286,25.707703414191588,36.01398601398601
ETH,55,80,1293.0900313834138,-61.09970975321444,237,21.163603503294624,35.86497890295359
ETH,80,10,363.63864086554094,-56.86063180547664,462,6.395262052478924,37.44588744588744
ETH,80,20,267.39465714603625,-73.52890824292992,372,3.636592240192105,35.752688172043015
ETH,80,35,1813.9241441706965,-62.35656027717555,282,29.08954785363056,39.00709219858156
ETH,80,55,1404.8709109149984,-61.53014546169454,244,22.832237765301528,36.47540983606557
ETH,80,80,604.898285857456,-58.26089372688125,213,10.382578212636641,37.558685446009385
ETH,110,10,422.08359173592004,-52.908948658704126,375,7.9775463779978635,37.86666666666667
ETH,110,20,392.1475390415218,-65.43063109003701,306,5.9933326716946995,36.9281045751634
ETH,110,35,1579.2376382937396,-68.67397436057081,235,22.996159068965426,38.297872340425535
ETH,110,55,1508.2900432771353,-72.96532738074926,204,20.67132564768117,37.254901960784316
ETH,110,80,719.5197981247791,-72.563515690766,182,9.915724056026422,37.91208791208791
SOL,20,10,-39.3734175441658,-83.95842144827496,699,-0.46896328998304165,36.33762517882689
SOL,20,20,216.87927186380355,-81.09221281074448,528,2.674477170452397,35.60606060606061
SOL,20,35,240.3888906015911,-85.6304266782851,401,2.8072835781227163,35.66084788029925
SOL,20,55,225.88067103967,-90.94185023142269,322,2.48379234054359,34.161490683229815
SOL,20,80,309.15990999928556,-91.26955148029403,247,3.3873280298308046,31.57894736842105
SOL,35,10,-31.530778201063157,-78.020294177485,508,-0.40413559745538963,36.417322834645674
SOL,35,20,118.51810622312256,-77.58669715087201,400,1.527557050052755,35.5
SOL,35,35,563.0938095796207,-77.05077050002534,314,7.3080879779058865,36.94267515923567
SOL,35,55,1341.3617057594752,-83.61386189164219,252,16.04233646686225,37.301587301587304
SOL,35,80,2169.0930601251107,-83.47188927005344,197,25.98591069512667,35.025380710659896
SOL,55,10,-38.53697163003751,-73.03799267550096,398,-0.5276291176463824,36.68341708542713
SOL,55,20,100.00397215457815,-70.5830833676126,317,1.4168263468136542,35.01577287066246
SOL,55,35,340.1151331167486,-73.45275207466163,256,4.630393327822977,35.546875
SOL,55,55,474.62248180929504,-84.08558083874718,213,5.644516896654247,36.61971830985916
SOL,55,80,1786.1804145684723,-78.88583197716959,168,22.64260095634679,38.095238095238095
SOL,80,10,-4.008728153726042,-76.64328253232175,320,-0.052303711705399554,38.75
SOL,80,20,229.3142695839577,-70.72450849963967,252,3.24235932420974,36.904761904761905
SOL,80,35,612.052534896682,-65.3624506735146,206,9.363977766896838,37.37864077669903
SOL,80,55,632.8160471982254,-77.72308904168224,177,8.141931245924251,37.28813559322034
SOL,80,80,2461.8997134398132,-71.71023257831153,141,34.331219198756365,38.297872340425535
SOL,110,10,82.86663163416456,-67.55288299354409,271,1.226692747400344,39.48339483394834
SOL,110,20,660.5594698205324,-60.4981266768606,212,10.91867643024365,40.09433962264151
SOL,110,35,1959.7476925989163,-49.661808491807236,172,39.461867219801675,41.86046511627907
SOL,110,55,1804.482064977788,-61.65599198426581,149,29.266937517415656,40.26845637583892
SOL,110,80,11047.427069055262,-60.13891514371906,116,183.69847614733803,43.96551724137931
